0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598
ponta do sol,zyryanka,bluff,vostok,arraial do cabo,hobart,port alfred,hilo,jamestown,rikitea,nikolskoye,flinders,amderma,avarua,atuona,tezu,ushuaia,mataura,rafai,bollnas,sao desiderio,illoqqortoormiut,diamantino,aguie,fortuna,mindelo,port elizabeth,fasa,belyy yar,zhukovka,vardo,carutapera,azanka,fairbanks,zhigansk,vaini,alofi,oksfjord,vaitupu,albany,cidreira,busselton,yar-sale,iqaluit,sept-iles,hithadhoo,port lincoln,touros,new norfolk,mar del plata,belushya guba,gamba,narsaq,trelew,mayumba,tuktoyaktuk,salvador,palora,karratha,puerto ayora,taolanaro,bethel,mahebourg,tortoli,kozluk,castro,zachary,cape town,fort frances,rio gallegos,airai,hermanus,maningrida,moussoro,pacific grove,samarai,aklavik,louisbourg,putnok,padang,berezovyy,bredasdorp,victoria,ashland,san vicente,jumla,thaba nchu,punta arenas,leningradskiy,huarmey,rocha,hunza,mgandu,saleaula,monrovia,constitucion,tasiilaq,barcelos,ancud,tiksi,muli,hokitika,praia,wuwei,kruisfontein,kapaa,zeya,butaritari,vila velha,kathu,attawapiskat,beringovskiy,marcona,lebu,husavik,alto longa,gizo,mataruska banja,palmer,lucea,senno,nchelenge,paamiut,kodiak,carnarvon,san pedro,henties bay,mount gambier,san borja,oranjestad,omsukchan,wasilla,faanui,ganzhou,bengkulu,tuatapere,san carlos de bariloche,gasa,qaanaaq,caravelas,kalispell,mao,havre,hobyo,areosa,quatre cocos,shashi,provideniya,kavieng,san patricio,bestobe,pokrovsk,novo horizonte,sitka,asyut,tsihombe,barbar,olavarria,raahe,saint george,hovd,cabo san lucas,bebington,torbay,lavrentiya,bolungarvik,yumen,kadykchan,mackenzie,yulara,codrington,stornoway,chuy,mishan,durban,cabra,samusu,jiuquan,xinmin,nouakchott,piranhas,acajutla,tokmak,sao joao da barra,kaitangata,calvinia,naze,rexburg,curup,cherskiy,port-cartier,yenagoa,milingimbi,nyurba,khash,bismarck,sao filipe,kobryn,batticaloa,faya,ankang,malakal,west odessa,nanortalik,upernavik,miraflores,daru,taltal,pimentel,esperance,east london,tuggurt,saint-francois,amalapuram,lieto,cockburn town,chapais,tateyama,fort nelson,anadyr,fort saint john,oskemen,saint-philippe,yellowknife,sainte-anne-des-monts,mareeba,skjervoy,hasaki,baiquan,pangody,georgetown,lewistown,avera,mount pleasant,isangel,rawannawi,tautira,pafos,alugan,ambilobe,richard toll,west helena,ilulissat,pevek,barentsburg,redding,makakilo city,velikiy ustyug,bubaque,northam,puerto baquerizo moreno,cantaura,gat,listvyanskiy,shelburne,abu zabad,sibu,semey,severo-kurilsk,talcahuano,thompson,krasna,reguengos de monsaraz,tura,rungata,xichang,la ronge,dikson,tacuarembo,chihuahua,biltine,kualakapuas,derzhavinsk,kuito,mangrol,radom,saint anthony,humaita,garowe,portobelo,kulhudhuffushi,lasa,kiruna,kidal,ribeira grande,longyearbyen,acarau,chokurdakh,port hedland,krasnogorskiy,mys shmidta,qurayyat,raudeberg,cervo,ndele,wajir,healdsburg,sentyabrskiy,garachine,khatanga,harper,sao paulo de olivenca,llanes,sola,prieska,guarumal,borovoy,comodoro rivadavia,archidona,broome,vila franca do campo,racoasa,adrar,sahiwal,bargal,genhe,anzio,barrow,mahendranagar,tera,nizhneyansk,ginda,puerto concordia,sigli,college,liling,meyungs,hit,bouloupari,vlad tepes,guaruja,road town,angoche,palembang,dali,kaluga,la cruz,namatanai,katsuura,salta,tumut,terrell,bambous virieux,grand gaube,oistins,whyalla,lethem,kahului,saquena,aykhal,cherrapunji,borama,ostrovnoy,emba,westport,rio brilhante,barranca,bandarbeyla,kavaratti,yabrud,acapulco,san giustino,belaya gora,kuche,almaznyy,shibarghan,lolua,dodola,boa vista,evensk,christchurch,heze,talnakh,mahibadhoo,saint-augustin,felidhoo,lipari,saldanha,barzas,kotelnich,hambantota,qandala,saskylakh,zaysan,bose,krutinka,korla,kayerkan,burica,urumqi,uyemskiy,tabasalu,xingtai,hay river,acara,maiduguri,ulladulla,senador guiomard,ukiah,panjab,lagoa,sinnamary,auki,fort dix,high level,hami,salalah,lorengau,vestmannaeyjar,tessalit,usinsk,sarankhola,vanimo,mariinsk,srednekolymsk,lishui,broken hill,tukrah,bure,kailua,kathmandu,hirara,peniche,cabedelo,luderitz,yamada,ikole,shakawe,abiy adi,itoman,tumannyy,bonthe,lac-au-saumon,nishihara,antofagasta,xingyi,quang ngai,fukue,oga,atar,ahipara,svetlaya,muroto,shakhrinau,marzuq,tucuman,tarakan,akyab,waddan,khani,dunedin,aginskoye,hillsborough,lagos,praia da vitoria,sobolevo,geraldton,maloshuyka,fare,khudumelapye,bereda,yarkovo,mackay,arroyo,okhotsk,morgan hill,hamilton,sibolga,santiago de cao,strathroy,cordoba,seredka,slobodskoy,vao,ust-tsilma,vestmanna,cayenne,wageningen,richards bay,arman,lakatoro,taloqan,ulaangom,kismayo,pangkalanbuun,arti,grand river south east,dunmore town,zarate,coquimbo,atambua,eganville,dingle,nome,tefe,capao da canoa,salima,labuhan,gulshat,lazaro cardenas,buariki,zhanakorgan,beyneu,te anau,male,patrai,paramonga,teya,vikindu,ponta delgada,porto novo,ambon,sovetskiy,kropotkin,tanabe,eydhafushi,mount darwin,souillac,jacareacanga,san juan del sur,puerto carreno,capim grosso,tingi,lyubim,wasserburg,lompoc,texarkana,jiwani,zalantun,ballarat,temaraia,marsa matruh,grand-bourg,steinbach,krasnogorodsk,maumere,rusape,umzimvubu,seymchan,guerrero negro,plettenberg bay,cooma,shubarkuduk,ahumada,coihaique,kelowna,ruatoria,saratovskaya,havre-saint-pierre,coahuayana,amarillo,palabuhanratu,nagato,sampit,coswig,soyo,beloha,skalistyy,tankhoy,birao,cotonou,pitimbu,skibotn,wanning,catumbela,aleksandrovsk-sakhalinskiy,sinjar,kwekwe,smithers,ornskoldsvik,pangnirtung,opuwo,san cristobal,san policarpo,nakhon thai,el carmen,farroupilha,norman wells,warrington,kununurra,laurel,haines junction,hofn,ngukurr,alice springs,mabaruma,sao miguel do araguaia,oume,suleya,juegang,campos sales,burnie,huangyan,skibbereen,uarini,paulo afonso,corinto,tiznit,iseyin
PT,RU,NZ,RU,BR,AU,ZA,US,US,PF,RU,AU,CK,PF,IN,AR,NZ,CF,SE,BR,BR,NE,US,CV,ZA,IR,RU,RU,NO,BR,RU,US,RU,TO,NU,NO,US,BR,AU,RU,CA,CA,MV,AU,BR,AU,AR,GA,GL,AR,GA,CA,SV,EC,AU,EC,US,MU,IT,TR,BR,US,ZA,CA,AR,TL,ZA,AU,TD,US,PG,CA,HU,ID,RU,ZA,HK,US,AR,NP,ZA,CL,RU,PE,UY,TZ,LR,CL,GL,PT,CL,RU,MV,NZ,CV,CN,ZA,US,RU,KI,BR,TH,RU,CL,IS,BR,SB,RS,US,JM,RU,ZM,GL,US,AU,PH,NA,AU,BO,AW,RU,US,PF,CN,ID,NZ,AR,PS,GL,BR,US,ES,FR,SO,PT,MU,CN,RU,PG,US,KZ,UA,BR,US,EG,AR,FI,US,MN,MX,GB,CA,RU,CN,CA,AU,AU,GB,UY,CN,ZA,ES,CN,CN,MR,BR,SV,UA,BR,NZ,ZA,JP,US,ID,RU,CA,NG,RU,IR,US,CV,BY,LK,SA,CN,SS,US,GL,GL,MX,PG,CL,PE,AU,ZA,FR,IN,FI,TC,CA,JP,CA,RU,KZ,RE,CA,CA,AU,NO,JP,CN,RU,MY,US,US,US,VU,PF,CY,PH,MG,US,GL,RU,US,US,RU,GW,GB,EC,VE,IL,RU,CA,SD,MY,KZ,RU,CL,CA,UA,PT,IN,CN,CA,RU,UY,MX,TD,ID,KZ,AO,IN,PL,US,BR,SO,PA,MV,IT,SE,ML,PT,SJ,BR,RU,AU,RU,SA,NO,ES,CF,KE,US,PA,RU,LR,BR,ES,VU,ZA,PA,RU,AR,ES,US,PT,RO,MR,PK,CN,IT,US,NP,NE,IN,CO,ID,US,CN,IQ,NC,RO,BR,VG,MZ,ID,CN,RU,MX,PG,JP,AR,AU,US,MU,MU,BB,AU,GY,US,PE,RU,IN,RU,KZ,US,BR,PE,SO,IN,SY,MX,IT,RU,RU,ET,BR,RU,NZ,CN,RU,MV,CA,IT,ZA,RU,RU,LK,SO,RU,KZ,IT,RU,CN,RU,CN,RU,EE,CN,CA,BR,NG,AU,BR,US,AF,PT,GF,SB,US,CA,CN,OM,PG,IS,ML,RU,BD,PG,RU,RU,CN,AU,LY,ET,US,NP,JP,PT,BR,NA,JP,BW,JP,SL,CA,JP,CL,CN,VN,JP,IT,MR,NZ,RU,JP,YE,AR,ID,MM,LY,GE,NZ,RU,US,NG,PT,RU,AU,PF,BW,ES,RU,AU,ES,RU,US,US,ID,PE,CA,AR,RU,RU,NC,RU,FO,GF,NL,ZA,RU,VU,AF,MN,SO,ID,RU,BS,AR,CL,ID,CA,PH,US,BR,BR,MW,ID,MX,KZ,KZ,NZ,MV,PE,RU,TZ,PT,BJ,ID,RU,RU,JP,MV,ZW,MU,BR,NI,CO,BR,TZ,RU,DE,US,US,PK,CN,AU,EG,GP,DE,RU,ID,ZW,RU,MX,ZA,AU,KZ,CL,CA,RU,CA,MX,US,JP,ID,DE,AO,MG,RU,CF,BJ,BR,NO,CN,AO,RU,IQ,ZW,CA,SE,CA,NA,VE,PH,TH,CO,BR,CA,GB,AU,US,CA,IS,AU,GY,BR,JP,RU,CN,BR,AU,CN,IE,BR,BR,GR,MA,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619025405,1619025405,1619025406,1619025406,1619025407,1619025407,1619025218,1619025408,1619025184,1619025408,1619025409,1619025291,1619025410,1619025410,1619025411,1619025411,1619025411,1619025412,1619025412,1619025413,1619025298,1619025413,1619025414,1619025414,1619025415,1619025415,1619025415,1619025416,1619025416,1619025417,1619025417,1619025301,1619025235,1619025418,1619025418,1619025223,1619025154,1619025419,1619025420,1619025420,1619025275,1619025298,1619025421,1619025421,1619025270,1619025422,1619025422,1619025368,1619025423,1619025377,1619025424,1619025217,1619025409,1619025424,1619025425,1619025425,1619025426,1619025230,1619025426,1619025427,1619025427,1619025428,1619025423,1619025346,1619025428,1619025429,1619025192,1619025429,1619025430,1619025430,1619025431,1619025431,1619025432,1619025279,1619025432,1619025219,1619025305,1619025316,1619025301,1619025306,1619025434,1619025199,1619025434,1619025435,1619025266,1619025436,1619025436,1619025203,1619025230,1619025437,1619025242,1619025213,1619025438,1619025438,1619025277,1619025439,1619025439,1619025349,1619025440,1619025440,1619025210,1619025441,1619025220,1619025442,1619025442,1619025443,1619025315,1619025443,1619025384,1619025444,1619025444,1619025445,1619025445,1619025212,1619025446,1619025446,1619025446,1619025447,1619025447,1619025180,1619025448,1619025448,1619025449,1619025449,1619025207,1619025450,1619025450,1619025451,1619025451,1619025451,1619025280,1619025452,1619025452,1619025279,1619025453,1619025453,1619025454,1619025454,1619025455,1619025455,1619025455,1619025456,1619025456,1619025457,1619025457,1619025458,1619025458,1619025459,1619025459,1619025244,1619025460,1619025460,1619025460,1619025461,1619025462,1619025462,1619025462,1619025463,1619025463,1619025464,1619025464,1619025465,1619025466,1619025466,1619025304,1619025467,1619025369,1619025468,1619025468,1619025469,1619025469,1619025470,1619025246,1619025471,1619025471,1619025389,1619025472,1619025473,1619025474,1619025474,1619025277,1619025475,1619025476,1619025476,1619025477,1619025477,1619025478,1619025479,1619025479,1619025260,1619025480,1619025481,1619025481,1619025482,1619025482,1619025483,1619025484,1619025484,1619025248,1619025485,1619025486,1619025304,1619025486,1619025487,1619025488,1619025466,1619025489,1619025489,1619025490,1619025490,1619025491,1619025492,1619025492,1619025492,1619025493,1619025277,1619025200,1619025213,1619025259,1619025495,1619025496,1619025497,1619025497,1619025275,1619025461,1619025499,1619025499,1619025492,1619025500,1619025501,1619025501,1619025502,1619025503,1619025503,1619025504,1619025504,1619025505,1619025506,1619025242,1619025305,1619025507,1619025310,1619025507,1619025508,1619025509,1619025510,1619025510,1619025353,1619025511,1619025512,1619025512,1619025513,1619025421,1619025514,1619025514,1619025515,1619025516,1619025516,1619025517,1619025517,1619025518,1619025519,1619025519,1619025306,1619025521,1619025522,1619025522,1619025523,1619025312,1619025524,1619025524,1619025525,1619025526,1619025526,1619025527,1619025528,1619025528,1619025529,1619025529,1619025530,1619025530,1619025531,1619025531,1619025377,1619025532,1619025532,1619025533,1619025533,1619025534,1619025534,1619025535,1619025535,1619025536,1619025536,1619025537,1619025538,1619025538,1619025539,1619025540,1619025540,1619025499,1619025542,1619025542,1619025543,1619025543,1619025544,1619025544,1619025545,1619025546,1619025546,1619025318,1619025547,1619025548,1619025548,1619025549,1619025550,1619025550,1619025551,1619025551,1619025552,1619025553,1619025553,1619025553,1619025554,1619025555,1619025556,1619025557,1619025557,1619025558,1619025558,1619025555,1619025559,1619025533,1619025560,1619025561,1619025561,1619025563,1619025563,1619025564,1619025489,1619025565,1619025566,1619025566,1619025567,1619025568,1619025568,1619025569,1619025569,1619025570,1619025570,1619025571,1619025572,1619025572,1619025573,1619025573,1619025574,1619025321,1619025575,1619025576,1619025576,1619025304,1619025577,1619025578,1619025579,1619025579,1619025580,1619025580,1619025581,1619025581,1619025582,1619025582,1619025583,1619025584,1619025584,1619025585,1619025585,1619025586,1619025586,1619025587,1619025587,1619025588,1619025588,1619025589,1619025589,1619025590,1619025590,1619025591,1619025592,1619025592,1619025379,1619025593,1619025594,1619025594,1619025595,1619025421,1619025597,1619025598,1619025598,1619025599,1619025599,1619025600,1619025601,1619025601,1619025602,1619025602,1619025603,1619025604,1619025605,1619025605,1619025606,1619025606,1619025607,1619025607,1619025608,1619025609,1619025369,1619025482,1619025610,1619025610,1619025611,1619025612,1619025612,1619025613,1619025613,1619025614,1619025615,1619025615,1619025616,1619025529,1619025365,1619025617,1619025618,1619025327,1619025618,1619025619,1619025620,1619025620,1619025621,1619025621,1619025431,1619025622,1619025623,1619025623,1619025624,1619025624,1619025625,1619025626,1619025626,1619025627,1619025628,1619025628,1619025628,1619025629,1619025630,1619025630,1619025631,1619025631,1619025632,1619025632,1619025633,1619025635,1619025635,1619025636,1619025636,1619025637,1619025638,1619025638,1619025639,1619025640,1619025641,1619025641,1619025642,1619025642,1619025643,1619025644,1619025644,1619025645,1619025646,1619025646,1619025647,1619025647,1619025648,1619025648,1619025649,1619025650,1619025650,1619025651,1619025651,1619025652,1619025489,1619025653,1619025654,1619025654,1619025655,1619025656,1619025656,1619025657,1619025657,1619025658,1619025514,1619025438,1619025660,1619025661,1619025661,1619025662,1619025663,1619025663,1619025664,1619025664,1619025665,1619025666,1619025666,1619025667,1619025668,1619025668,1619025669,1619025669,1619025670,1619025671,1619025671,1619025672,1619025672,1619025673,1619025674,1619025674,1619025675,1619025676,1619025676,1619025677,1619025677,1619025552,1619025678,1619025679,1619025680,1619025680,1619025681,1619025682,1619025683,1619025683,1619025683,1619025684,1619025684,1619025685,1619025686,1619025686,1619025687,1619025687,1619025688,1619025493,1619025689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6667,65.75,-46.6,46.4856,-22.9661,-42.8794,-33.5906,19.7297,42.097,-23.1203,59.7035,-34.5833,-21.2078,-9.8,27.9167,-54.8,-46.1927,4.95,61.3482,-12.3633,-14.4086,13.506,40.5982,16.8901,-33.918,28.9383,53.6039,53.534,70.3705,-1.195,58.0401,64.8378,66.7697,-21.2,-19.0595,70.2396,42.6001,-30.1811,-33.65,66.8333,63.7506,50.2001,-0.6,-34.7333,-5.1989,-42.7826,-38.0023,-2.65,60.9167,-43.249,-3.432,69.4541,13.8333,-1.7,-20.7377,-0.7393,41.3712,-20.4081,39.9256,38.1938,-24.7911,30.6485,-33.9258,48.5999,-51.6226,-8.9266,-34.4187,-12.0667,13.6408,36.6177,-10.6167,68.2191,48.3,-0.9492,51.6667,-34.5322,22.2855,40.8167,-26.6167,29.2747,-29.2093,-53.15,69.3833,-10.0681,-34.4833,-5.95,6.3005,-35.3333,65.6145,41.5388,-41.8697,71.6872,2.9167,-42.7167,14.9215,37.9281,-34.0033,22.0752,53.75,3.0707,-20.3297,7.9178,63.05,-37.6167,66.0449,-5.2511,-8.103,43.6901,42.1584,18.451,59.5336,-9.3451,61.994,57.79,-24.8667,14.35,-22.116,-37.8333,-14.8167,12.524,62.5333,61.5814,-16.4833,28.8184,-3.8004,-46.1333,-41.1456,31.5,77.484,-17.7125,48.1958,39.8885,49.5833,5.3505,41.7178,-20.2078,30.3072,64.3833,-2.5744,28.017,52.4994,48.282,-21.4681,57.0531,27.181,-36.8927,64.6833,37.1041,48.0056,22.8909,53.35,47.6666,65.5833,40.2833,55.2999,-25.2406,-38.2667,58.2093,-33.6971,45.55,-29.8579,37.4725,39.7432,41.9908,18.0858,-16.4269,13.5928,47.2514,-21.6403,-46.2817,-31.4707,28.3667,43.826,-3.4667,68.75,50.0334,4.9247,63.2842,28.2211,46.8083,14.8961,52.2138,7.7102,18.3851,32.68,9.5334,31.8424,60.1432,72.7868,19.2167,-9.0763,-25.4,-6.8367,-33.8667,-33.0153,46.4154,16.5833,60.5103,21.4612,49.7834,34.9833,58.8053,64.75,49.9565,-21.3585,62.456,49.124,-17,70.0311,35.7333,47.5833,65.85,5.4112,40.5992,33.194,32.7941,-19.55,-17.7333,34.7667,12.2188,-13.2,34.5507,69.2167,69.7008,40.5865,21.3469,60.7644,11.2833,51.0333,-0.9,9.3057,31.61,54.4399,44.0787,12.35,2.3,50.4111,50.6789,-36.7167,55.7435,48.5757,38.4253,25.5198,27.8964,55.1001,73.5069,-31.7333,28.5,14.5333,-3.0091,51.1,-12.3833,21.1167,51.4025,45.0205,-7.5061,8.4054,9.55,6.6221,46.6166,67.8557,18.4411,38.5167,78.2186,-2.8856,70.6333,-20.3167,54.6025,31.3318,61.9875,43.6702,8.4109,1.7471,38.6105,8.0647,71.9667,4.375,-3.3783,43.4198,-13.8833,-29.6641,8.35,55.4333,-45.8667,37.0965,42.2506,37.7167,46,20.5022,30.6667,50.7833,41.4853,71.2906,28.9167,14.0078,30.6945,2.6221,5.3848,64.8569,27.6667,33.6416,-21.8667,44.35,-23.9931,18.4167,-16.2325,-2.9167,25.7,54.5,23.9167,-3.6667,35.1333,-24.7859,-35.3,32.736,-20.3428,-20.0064,13.0667,-33.0333,3.3803,20.8947,-4.6667,66,25.3,68.0531,48.8264,41.1415,-21.8019,-10.75,9.4942,10.5669,33.9674,16.8634,43.5495,68.5333,48.0448,6.9833,2.8197,61.95,-43.5333,35.2431,69.4865,3.7833,51.226,38.4674,-33.0117,55.7167,58.3089,6.1241,11.472,71.9167,47.4667,45.4612,56.0055,41.7597,69.3497,43.801,64.4743,59.4303,37.0631,60.8156,-1.9608,11.8464,-35.35,-10.1522,39.1502,34.388,39.05,5.3833,-8.7676,40.0298,58.5169,42.8,17.0151,-2.0226,63.4427,20.1986,65.9939,22.3082,-2.6741,56.2139,67.45,28.4604,-31.95,32.5341,10.7,21.4022,27.7167,24.8,39.3558,-6.9811,-26.6481,39.4667,-18.3667,26.1247,7.5264,48.421,26.1842,-23.65,24.1877,15.1167,32.6881,46.4631,20.5169,-35.1667,46.5389,33.2833,14.4,-26.8241,3.3,20.15,29.1614,41.9563,-45.8742,51.1,37.5741,6.5833,38.7333,54.4299,-28.7667,-16.7,-23.8833,43.2686,57.4028,-21.15,41.6096,59.3833,37.1305,39.1834,1.7427,-7.9589,42.9551,-31.4135,58.1584,58.7322,-22.6667,65.441,62.1564,4.9333,51.9667,-28.783,59.7,-16.0999,36.7361,49.9811,-0.3582,-2.6833,56.4234,25.5,-34.0981,-29.9533,-9.1061,45.5334,10.9995,64.5011,-3.3542,-29.7456,-13.7804,-6.8844,17.9583,43.9098,45.3167,-45.4167,4.1748,-10.6667,60.3778,-7.0067,37.7333,6.4965,-3.6954,61.3614,45.4375,33.7333,5.1033,-16.7725,-20.5167,-6.2222,11.2529,6.189,-11.3811,-11.3,58.3625,48.4411,34.6391,33.4251,25.05,48,-37.5662,31.3525,15.8835,50.1667,56.8357,-8.6199,-18.5278,62.8833,27.9769,-34.0527,-36.2333,49.1447,-45.5752,49.8831,44.7103,50.2334,18.7333,35.222,34.3833,-2.5333,51.1333,-6.1349,-25.1667,51.5528,10.2849,6.3654,-7.4706,69.3913,18.8003,-12.4314,50.8975,36.3209,-18.9281,54.7804,63.2909,66.1451,-18.0607,7.7669,12.1791,17.1006,8.5106,-29.225,65.282,53.3925,-15.7667,39.0993,60.7522,64.2539,-23.7,8.2,-13.275,35.7839,55.1352,32.3174,-7.0744,-41.0667,28.6478,51.55,-2.99,-9.4061,37.9407,29.5833,7.9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
