,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,ushuaia,AR,1619045520,-54.8,-68.3,9.0,49,0,2.06
1,vaini,TO,1619045568,-21.2,-175.2,29.0,74,40,2.06
2,hithadhoo,MV,1619045570,-0.6,73.0833,27.89,69,43,2.2
3,belmonte,BR,1619045571,-15.8631,-38.8828,26.0,83,75,4.12
4,guerrero negro,MX,1619045573,27.9769,-114.0611,17.81,61,59,7.61
5,alofi,NU,1619045420,-19.0595,-169.9187,30.0,70,40,4.63
6,awbari,LY,1619045577,26.5921,12.7805,26.23,16,100,1.1
7,albany,US,1619045578,42.6001,-73.9662,3.33,52,90,0.45
8,mataura,NZ,1619045579,-46.1927,168.8643,11.11,96,88,0.45
9,saldanha,ZA,1619045581,-33.0117,17.9442,13.0,94,14,1.54
10,hermanus,ZA,1619045582,-34.4187,19.2345,19.44,86,30,3.58
11,bethel,US,1619045584,41.3712,-73.414,4.44,80,93,1.34
12,barrow,US,1619045585,71.2906,-156.7887,-6.0,86,1,4.12
13,atuona,PF,1619045588,-9.8,-139.0333,27.02,70,3,9.0
14,ribeira grande,PT,1619045589,38.5167,-28.7,18.33,90,100,14.28
15,butaritari,KI,1619045591,3.0707,172.7902,28.14,76,100,6.87
16,faanui,PF,1619045592,-16.4833,-151.75,27.38,75,41,5.87
17,harwich,GB,1619045594,51.9419,1.2844,5.56,69,40,1.79
18,souillac,MU,1619045595,-20.5167,57.5167,25.0,94,40,2.57
19,tessalit,ML,1619045598,20.1986,1.0114,27.59,9,80,3.17
20,rikitea,PF,1619045600,-23.1203,-134.9692,25.54,72,30,4.77
21,bredasdorp,ZA,1619045601,-34.5322,20.0403,17.0,94,99,2.06
22,dikson,RU,1619045603,73.5069,80.5464,-2.48,96,100,5.39
23,punta arenas,CL,1619045333,-53.15,-70.9167,6.0,81,0,0.58
24,castro,BR,1619045606,-24.7911,-50.0119,13.28,95,80,2.48
25,cidreira,BR,1619045610,-30.1811,-50.2056,21.71,60,100,7.71
26,yar-sale,RU,1619045612,66.8333,70.8333,0.92,89,100,5.5
